participant,filename,sound_prediction_score
CODA_TB_0001,1645088710003-recording-1.wav,0.990254104
CODA_TB_0001,1645088760390-recording-1.wav,0.990271986
CODA_TB_0001,1645088760830-recording-1.wav,0.990111649
CODA_TB_0001,1645088710843-recording-1.wav,0.99015224
CODA_TB_0001,1645088759950-recording-1.wav,0.990039468
CODA_TB_0001,1645088758630-recording-1.wav,0.990004361
CODA_TB_0001,1645088758230-recording-1.wav,0.975063205
CODA_TB_0001,1645088738844-recording-1.wav,0.990067661
CODA_TB_0001,1645088784942-recording-1.wav,0.990290523
CODA_TB_0001,1645088784542-recording-1.wav,0.990288496
CODA_TB_0001,1645088800484-recording-1.wav,0.988550782
CODA_TB_0001,1645088802764-recording-1.wav,0.99014467
CODA_TB_0001,1645088803164-recording-1.wav,0.98987639
CODA_TB_0001,1645088710443-recording-1.wav,0.990260243
CODA_TB_0001,1645088738004-recording-1.wav,0.99016118
CODA_TB_0001,1645088709603-recording-1.wav,0.990289152
CODA_TB_0001,1645088736844-recording-1.wav,0.990209341
CODA_TB_0001,1645088800044-recording-1.wav,0.990282953
CODA_TB_0002,1643791257235-recording-1.wav,0.990236878
CODA_TB_0002,1643791282515-recording-1.wav,0.984813213
CODA_TB_0002,1643791201453-recording-1.wav,0.989807606
CODA_TB_0002,1643791203573-recording-1.wav,0.990205228
CODA_TB_0002,1643791177587-recording-1.wav,0.990182519
CODA_TB_0002,1643791175547-recording-1.wav,0.990235507
CODA_TB_0002,1643791129224-recording-1.wav,0.990009189
CODA_TB_0002,1643791127584-recording-1.wav,0.990185976
CODA_TB_0003,1635124958503-recording-1.wav,0.999959111
CODA_TB_0003,1635124956023-recording-1.wav,0.999848723
CODA_TB_0003,1635124954223-recording-1.wav,0.995631576
CODA_TB_0003,1635124894260-recording-1.wav,0.999900818
CODA_TB_0003,1635124980556-recording-1.wav,0.999809444
CODA_TB_0003,1635124981876-recording-1.wav,0.999903917
CODA_TB_0003,1635125002221-recording-1.wav,0.999975681
CODA_TB_0003,1635125003581-recording-1.wav,0.995828331
CODA_TB_0003,1635125004701-recording-1.wav,0.999418259
CODA_TB_0003,1635125021275-recording-1.wav,0.999675035
CODA_TB_0003,1635125022835-recording-1.wav,0.99750489
CODA_TB_0004,1651139990281-recording-1.wav,0.934881508
CODA_TB_0004,1651140030343-recording-1.wav,0.941321552
CODA_TB_0004,1651140068559-recording-1.wav,0.942188382
CODA_TB_0004,1651140147815-recording-1.wav,0.941829622
CODA_TB_0004,1651140007966-recording-1.wav,0.941101432
CODA_TB_0005,1650446771465-recording-1.wav,0.938840568
